episode,metadata_success,duration_s,max_wrist_radius_mm,max_joint_speed_rad_s,initial_closure,bilateral_load_proxy_s,lift30mm_proxy_s,release_proxy_s,carry_peak_tcp_z_m,release_tcp,release_q,release_gripper,current_loader_valid_anchor_range_s,approx_first_valid_anchor_tcp_delta_mm,anchor_delta_sampling_note
ep_waffles_1787395928_000,True,19.810084977885708,424.26303727576425,0.7956087589263916,0.4274509847164154,7.544009466888383,7.984002809040248,13.816851370036602,0.31258852288628436,"[-0.34914965723006713, 0.0710822763585978, 0.10565960073613906, -2.074308292071396, -1.0922828128730135, 0.5407385498142102]","[-0.4680851141559046, -1.5901530424701136, 1.8462586402893066, 0.458401083946228, 1.6366320848464966, -3.038567845021383]",0.37254902720451355,"[1.694361338066301, 15.770694536855444]","[-2.458542992646473, 11.246567784008398, -19.204223629376184]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787395963_001,True,22.177150150062516,418.11802278062413,0.8147595524787903,0.3137255012989044,7.290004812180996,7.656959952088073,15.528966616140679,0.3504440607628737,"[-0.35498561205125856, 0.08871439354508441, 0.10843325460110448, -2.000973194128766, -1.1230528246807125, 0.5207116459733615]","[-0.5348013083087366, -1.6010053793536585, 1.8727045059204102, 0.3994375467300415, 1.5965882539749146, -3.141151730214254]",0.4156862795352936,"[1.6995602251499804, 17.68142629414797]","[-5.163673213798736, 0.9401470144925761, -31.50763654373917]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396028_003,True,21.296666101086885,407.3249637359077,0.7533763647079468,0.3450980484485626,8.417826703982428,8.62082816194743,15.097864269046113,0.30172966682982316,"[-0.36758533629587353, 0.06965205834100237, 0.10130552774977866, -1.982339678660524, -1.2113957443567624, 0.5817156307410872]","[-0.5231331030475062, -1.5706523100482386, 1.8679890632629395, 0.3874518871307373, 1.525170922279358, -3.1695693174945276]",0.3490196168422699,"[1.7198270369790407, 17.040891509968787]","[-27.55611829571447, 43.66939651128116, -35.71682269768156]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396060_004,True,22.130509932991117,413.1712100697157,0.7987006902694702,0.3137255012989044,8.67996953916736,9.122284593060613,16.088050327962264,0.3085659184318593,"[-0.3762646220671767, 0.07021161878528268, 0.10618489526908961, -1.948279645818891, -1.1673690713563587, 0.6179395931167899]","[-0.5002024809466761, -1.5748327414142054, 1.8903188705444336, 0.3135669231414795, 1.5422248840332031, -3.136221710835592]",0.4313725531101227,"[1.6605784270450386, 17.91667236504145]","[-10.3633904849999, 32.35818857613326, -68.5954768141847]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396094_005,True,21.53945353999734,408.80457927437357,0.6505277156829834,0.42352941632270813,7.621198065811768,8.171452861977741,15.059449170948938,0.336406043500154,"[-0.3777870034852009, 0.07887989109515668, 0.11048208378343977, -1.9563197629961067, -1.1204624321687258, 0.6151223560249116]","[-0.504711929951803, -1.5707243124591272, 1.8767719268798828, 0.30817437171936035, 1.56206214427948, -3.1113672892199915]",0.4470588266849518,"[1.658388697915143, 16.944420927902684]","[-25.608035719624112, 55.46893458158026, -44.86494307843935]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396128_006,True,19.091772340005264,404.89780986007855,0.8209673762321472,0.4274509847164154,7.003072369843721,7.37599880900234,13.979793068952858,0.31703995902613047,"[-0.37476855010589205, 0.10024748263000516, 0.10575099369986628, -1.90713514100079, -1.1671894555838411, 0.5505594943480457]","[-0.5883119742022913, -1.570916000996725, 1.9035420417785645, 0.2786365747451782, 1.5203461647033691, -3.2313717047320765]",0.43921568989753723,"[1.690278194984785, 15.33333009085618]","[-8.115500783719199, 30.368802360391967, -62.97131484693047]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396273_010,True,20.98092353506945,423.81513690189684,0.7077164649963379,0.37254902720451355,7.552005090052262,7.970858749933541,14.704011399066076,0.3274203772669322,"[-0.35877630312989345, 0.07911461611041493, 0.09591818739317198, -2.089276253517184, -1.2303503737755388, 0.5172801217719827]","[-0.5643752256976526, -1.508087460194723, 1.7583298683166504, 0.5418211221694946, 1.5181976556777954, -3.178361956273214]",0.42352941632270813,"[1.675103114126614, 16.57147011999041]","[4.215720319384941, 18.14478697309674, -33.14980829806979]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396314_011,True,21.11244310508482,428.8446067069681,0.7889695167541504,0.3333333432674408,7.330534803913906,8.01599988504313,14.824331830022857,0.35809467493123914,"[-0.37493537383841347, 0.06726324039266438, 0.10458057087173667, -2.0216251820071, -1.1853373255296995, 0.5861718219288075]","[-0.48038989702333623, -1.5204013029681605, 1.7875113487243652, 0.4343067407608032, 1.5618823766708374, -3.1078880468951624]",0.4000000059604645,"[1.6839587200902315, 17.06747257290408]","[-7.284649975581814, 22.285094690516594, -65.50576863226698]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396346_012,True,22.352676674956456,418.25214306809215,0.7155541181564331,0.3490196168422699,8.81042167590931,9.263617968885228,16.394254219951108,0.3425782477118707,"[-0.37547081391632603, 0.06840376114933402, 0.10016374254065226, -2.029025825794084, -1.2136472830809955, 0.5846476672212452]","[-0.5056951681720179, -1.5070808569537562, 1.7816557884216309, 0.4465094804763794, 1.529719352722168, -3.1362577120410364]",0.43529412150382996,"[1.7159294201064768, 18.34452327201143]","[-5.17985705555385, 27.859841024890475, -106.82771619805659]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
ep_waffles_1787396461_000,True,22.02479886589572,413.506249038489,0.6086548566818237,0.2549019753932953,7.592786323977634,7.978788261068985,14.984973605023697,0.31618963485626517,"[-0.37210909036795126, 0.07411183900670301, 0.10397940946207788, -1.8999373020543662, -1.2178139965146955, 0.5444184813426285]","[-0.48206884065736944, -1.56964618364443, 1.8942904472351074, 0.3064965009689331, 1.5879720449447632, -3.2017179171191614]",0.3921568691730499,"[1.6416218200702133, 17.42467114003375]","[-11.15069568482352, 19.87930116888681, -65.4380050044283]",10Hz retained trajectory; first sample on/after formula-derived earliest anchor
