acquired,activation_delay_s,actual_stop,carried,clean_place,collision_coverage,completed_reason,completion_hold_rows,completion_time_s,condition_id,delivery_latency_s,directory,dropped,event_times_s,final_bin_supported_robot_unloaded,final_contacts_unloaded,final_inside_bin,final_support_forces_n,furthest_physical_stage,hold_duration_s,ik_rejects,inference_wall_time_s,initialization,invalid_reasons,lifted,logged_safety_events_including_nonterminal,native_inference_latency_s,pad_packet_force_peak_n,policy_id,reach_before_closure,reach_error_before_first_closing_motion_m,released_in_bin,safety_stop,sampling_seed,stale_plan_hold_rows,stop_reason,stop_time_s,strict_full_place,study_stage,tactile_force_limit_stop,terminal_safety_events,valid_for_selection,wrench_limit_stop
False,"{""count"": 9, ""mean"": 0.8266666666666667, ""p95"": 1.024, ""max"": 1.168}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396060,"{""count"": 10, ""mean"": 0.8194129648152739, ""p95"": 1.0016004386241544}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396060__seed903201,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,False,False,"{""packet_robot_normal_force"": 63.71240210533142, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 10, ""mean"": 1.0015766798052936, ""p95"": 1.187568256363738}",,[],False,"[""wrench_limit""]","{""count"": 10, ""mean"": 0.8194129648152739, ""p95"": 1.0016004386241544}",123.78407287597656,fta3000_nfe1_k4,False,0.2726020893658456,False,True,903201,0,safety_stop,7.796,False,confirmation,False,"[""wrench_limit""]",True,True
False,"{""count"": 70, ""mean"": 0.8357714285714289, ""p95"": 1.1527999999999974, ""max"": 1.216}",False,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396060,"{""count"": 71, ""mean"": 0.8303832826745683, ""p95"": 1.149036007001996}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396060__seed903202,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 71, ""mean"": 1.0141875992797997, ""p95"": 1.3314701750059612}",,[],False,[],"{""count"": 71, ""mean"": 0.8303832826745683, ""p95"": 1.149036007001996}",73.08216857910156,fta3000_nfe1_k4,False,0.27260212877123935,False,False,903202,0,,,False,confirmation,False,[],True,False
False,"{""count"": 6, ""mean"": 0.8466666666666667, ""p95"": 1.0779999999999998, ""max"": 1.168}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396094,"{""count"": 7, ""mean"": 0.8362817398571808, ""p95"": 1.0569125150563192}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396094__seed903201,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 7, ""mean"": 1.0191895255453087, ""p95"": 1.2453513098997062}",,[],False,"[""wrench_limit""]","{""count"": 7, ""mean"": 0.8362817398571808, ""p95"": 1.0569125150563192}",0.0,fta3000_nfe1_k4,False,0.2210449057331254,False,True,903201,0,safety_stop,5.876,False,confirmation,False,"[""wrench_limit""]",True,True
False,"{""count"": 7, ""mean"": 0.8422857142857143, ""p95"": 1.0911999999999997, ""max"": 1.216}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396094,"{""count"": 8, ""mean"": 0.8335224741167622, ""p95"": 1.0682557175401597}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396094__seed903202,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 8, ""mean"": 1.0150628889969084, ""p95"": 1.2498210312507578}",,[],False,"[""wrench_limit""]","{""count"": 8, ""mean"": 0.8335224741167622, ""p95"": 1.0682557175401597}",0.0,fta3000_nfe1_k4,False,0.22754444092041823,False,True,903202,0,safety_stop,6.348,False,confirmation,False,"[""wrench_limit""]",True,True
False,"{""count"": 6, ""mean"": 0.8506666666666667, ""p95"": 1.1079999999999999, ""max"": 1.216}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396128,"{""count"": 7, ""mean"": 0.8385574588485595, ""p95"": 1.086732509511057}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396128__seed903201,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 7, ""mean"": 1.0203001943051018, ""p95"": 1.270977334526833}",,[],False,"[""wrench_limit""]","{""count"": 7, ""mean"": 0.8385574588485595, ""p95"": 1.086732509511057}",0.0,fta3000_nfe1_k4,False,0.24669752092459638,False,True,903201,0,safety_stop,6.164,False,confirmation,False,"[""wrench_limit""]",True,True
False,"{""count"": 6, ""mean"": 0.8533333333333332, ""p95"": 1.108, ""max"": 1.208}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396128,"{""count"": 7, ""mean"": 0.8381915890412139, ""p95"": 1.087780980102252}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396128__seed903202,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 7, ""mean"": 1.0211395135681545, ""p95"": 1.2682820544578133}",,[],False,"[""wrench_limit""]","{""count"": 7, ""mean"": 0.8381915890412139, ""p95"": 1.087780980102252}",0.0,fta3000_nfe1_k4,False,0.24669748128942773,False,True,903202,0,safety_stop,6.0680000000000005,False,confirmation,False,"[""wrench_limit""]",True,True
True,"{""count"": 43, ""mean"": 0.813953488372093, ""p95"": 1.1176000000000008, ""max"": 1.1920000000000002}",True,True,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396314,"{""count"": 44, ""mean"": 0.8089065560488962, ""p95"": 1.0965713090146896}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396314__seed903201,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": 26.868000000000002, ""lift"": 31.736, ""carry"": 34.536, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,False,False,"{""packet_robot_normal_force"": 11.819852259010077, ""packet_bin_normal_force"": 0.0}",carried,0.0,0,"{""count"": 44, ""mean"": 0.9823675616326827, ""p95"": 1.281480336131063}",,[],True,"[""wrist_extension""]","{""count"": 44, ""mean"": 0.8089065560488962, ""p95"": 1.0965713090146896}",49.48326110839844,fta3000_nfe1_k4,False,0.2739011085128506,False,True,903201,0,safety_stop,36.124,False,confirmation,False,"[""wrist_extension""]",True,False
True,"{""count"": 36, ""mean"": 0.8706666666666666, ""p95"": 1.1920000000000002, ""max"": 1.1999999999999993}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396314,"{""count"": 37, ""mean"": 0.8636595193214865, ""p95"": 1.1857674878789113}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396314__seed903202,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": 22.668, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",acquired,0.0,0,"{""count"": 37, ""mean"": 1.0440560399957404, ""p95"": 1.3674703627824782}",,[],False,"[""wrench_limit""]","{""count"": 37, ""mean"": 0.8636595193214865, ""p95"": 1.1857674878789113}",97.6810531616211,fta3000_nfe1_k4,False,0.2739011085128506,False,True,903202,0,safety_stop,32.276,False,confirmation,False,"[""wrench_limit""]",True,True
False,"{""count"": 59, ""mean"": 0.8865084745762706, ""p95"": 1.176800000000002, ""max"": 1.1920000000000002}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396346,"{""count"": 60, ""mean"": 0.8801023563176084, ""p95"": 1.1714837901992723}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396346__seed903201,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 60, ""mean"": 1.0633990892616567, ""p95"": 1.353099913545884}",,[],False,"[""hitbox_exit""]","{""count"": 60, ""mean"": 0.8801023563176084, ""p95"": 1.1714837901992723}",47.194984436035156,fta3000_nfe1_k4,False,0.2590660313845288,False,True,903201,0,safety_stop,53.404,False,confirmation,False,"[""hitbox_exit""]",True,False
False,"{""count"": 68, ""mean"": 0.8638823529411762, ""p95"": 1.1839999999999975, ""max"": 1.1920000000000002}",False,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396346,"{""count"": 69, ""mean"": 0.864120405202772, ""p95"": 1.1831352453911677}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/confirmation/rollouts/fta3000_nfe1_k4__start_1787396346__seed903202,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 69, ""mean"": 1.0472403405035131, ""p95"": 1.3662271454231814}",,[],False,[],"{""count"": 69, ""mean"": 0.864120405202772, ""p95"": 1.1831352453911677}",90.51286315917969,fta3000_nfe1_k4,False,0.2590660313845288,False,False,903202,0,,,False,confirmation,False,[],True,False
