acquired,activation_delay_s,actual_stop,carried,clean_place,collision_coverage,completed_reason,completion_hold_rows,completion_time_s,condition_id,delivery_latency_s,directory,dropped,event_times_s,final_bin_supported_robot_unloaded,final_contacts_unloaded,final_inside_bin,final_support_forces_n,furthest_physical_stage,hold_duration_s,ik_rejects,inference_wall_time_s,initialization,invalid_reasons,lifted,logged_safety_events_including_nonterminal,native_inference_latency_s,pad_packet_force_peak_n,policy_id,reach_before_closure,reach_error_before_first_closing_motion_m,released_in_bin,safety_stop,sampling_seed,stale_plan_hold_rows,stop_reason,stop_time_s,strict_full_place,study_stage,tactile_force_limit_stop,terminal_safety_events,valid_for_selection,wrench_limit_stop
False,"{""count"": 74, ""mean"": 0.7902702702702705, ""p95"": 0.8079999999999998, ""max"": 1.176}",False,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787395928,"{""count"": 75, ""mean"": 0.785411235949335, ""p95"": 0.8034826832008548}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787395928__seed903101,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 75, ""mean"": 0.9685256890316183, ""p95"": 0.9865382442250847}",,[],False,[],"{""count"": 75, ""mean"": 0.785411235949335, ""p95"": 0.8034826832008548}",0.6936913728713989,fta1500_nfe1_k4,False,0.056217682909796375,False,False,903101,0,,,False,screen,False,[],True,False
False,"{""count"": 5, ""mean"": 0.8623999999999998, ""p95"": 1.0959999999999999, ""max"": 1.168}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787395928,"{""count"": 6, ""mean"": 0.8492111081529098, ""p95"": 1.0752607850008644}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787395928__seed903102,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 6, ""mean"": 1.0305088871973567, ""p95"": 1.2564578230667394}",,[],False,"[""wrench_limit""]","{""count"": 6, ""mean"": 0.8492111081529098, ""p95"": 1.0752607850008644}",0.0,fta1500_nfe1_k4,False,,False,True,903102,0,safety_stop,5.38,False,screen,False,"[""wrench_limit""]",True,True
False,"{""count"": 68, ""mean"": 0.8628235294117643, ""p95"": 1.1839999999999975, ""max"": 1.216}",False,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787395963,"{""count"": 69, ""mean"": 0.8622685801018488, ""p95"": 1.1835273617645725}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787395963__seed903101,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 69, ""mean"": 1.0452419276200775, ""p95"": 1.3659621451748536}",,[],False,[],"{""count"": 69, ""mean"": 0.8622685801018488, ""p95"": 1.1835273617645725}",36.8767204284668,fta1500_nfe1_k4,False,0.021351300836796518,False,False,903101,0,,,False,screen,False,[],True,False
False,"{""count"": 15, ""mean"": 0.8389333333333332, ""p95"": 1.1511999999999993, ""max"": 1.168}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787395963,"{""count"": 16, ""mean"": 0.8292731654728414, ""p95"": 1.1465056657325476}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787395963__seed903102,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,False,False,"{""packet_robot_normal_force"": 95.74334368854761, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 16, ""mean"": 1.010760455057607, ""p95"": 1.326930969255045}",,[],False,"[""wrench_limit""]","{""count"": 16, ""mean"": 0.8292731654728414, ""p95"": 1.1465056657325476}",150.34454345703125,fta1500_nfe1_k4,False,0.16377549247268314,False,True,903102,0,safety_stop,13.468,False,screen,False,"[""wrench_limit""]",True,True
False,"{""count"": 71, ""mean"": 0.8278309859154929, ""p95"": 1.156000000000001, ""max"": 1.1920000000000002}",False,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396028,"{""count"": 72, ""mean"": 0.8225350643495202, ""p95"": 1.153228819044307}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787396028__seed903101,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 72, ""mean"": 1.00542387306632, ""p95"": 1.3365841701219325}",,[],False,[],"{""count"": 72, ""mean"": 0.8225350643495202, ""p95"": 1.153228819044307}",37.1589241027832,fta1500_nfe1_k4,False,0.08576664983085434,False,False,903101,0,,,False,screen,False,[],True,False
False,"{""count"": 6, ""mean"": 0.8506666666666667, ""p95"": 1.0779999999999998, ""max"": 1.168}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396028,"{""count"": 7, ""mean"": 0.8356510225650189, ""p95"": 1.0550144742242988}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787396028__seed903102,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 7, ""mean"": 1.0143533931280087, ""p95"": 1.2397498405771328}",,[],False,"[""wrench_limit""]","{""count"": 7, ""mean"": 0.8356510225650189, ""p95"": 1.0550144742242988}",0.0,fta1500_nfe1_k4,False,,False,True,903102,0,safety_stop,5.692,False,screen,False,"[""wrench_limit""]",True,True
False,"{""count"": 63, ""mean"": 0.9221587301587297, ""p95"": 1.1912000000000003, ""max"": 1.1920000000000002}",False,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396273,"{""count"": 64, ""mean"": 0.9219067987105518, ""p95"": 1.1846673322375865}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787396273__seed903101,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,False,False,"{""packet_robot_normal_force"": 46.14842915534973, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 64, ""mean"": 1.1052440893017774, ""p95"": 1.368271989421919}",,[],False,[],"{""count"": 64, ""mean"": 0.9219067987105518, ""p95"": 1.1846673322375865}",46.14842987060547,fta1500_nfe1_k4,False,0.21043867717098289,False,False,903101,0,,,False,screen,False,[],True,False
False,"{""count"": 47, ""mean"": 0.8345531914893616, ""p95"": 1.1800000000000002, ""max"": 1.2}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787396273,"{""count"": 48, ""mean"": 0.8283606265104027, ""p95"": 1.1715377056039868}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe1_k4__start_1787396273__seed903102,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 48, ""mean"": 1.0108835045078497, ""p95"": 1.3537177018646616}",,[],False,"[""wrench_limit""]","{""count"": 48, ""mean"": 0.8283606265104027, ""p95"": 1.1715377056039868}",116.63239288330078,fta1500_nfe1_k4,False,0.21607507742987675,False,True,903102,0,safety_stop,40.524,False,screen,False,"[""wrench_limit""]",True,True
False,"{""count"": 5, ""mean"": 0.9856, ""p95"": 1.2496, ""max"": 1.336}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787395928,"{""count"": 6, ""mean"": 0.9674192544965384, ""p95"": 1.2258937946753576}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe5_k1__start_1787395928__seed903101,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,True,False,"{""packet_robot_normal_force"": 0.0, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 6, ""mean"": 1.1484181748431486, ""p95"": 1.4078293285274412}",,[],False,"[""wrench_limit""]","{""count"": 6, ""mean"": 0.9674192544965384, ""p95"": 1.2258937946753576}",0.0,fta1500_nfe5_k1,False,0.21666610517374024,False,True,903101,0,safety_stop,5.436,False,screen,False,"[""wrench_limit""]",True,True
False,"{""count"": 7, ""mean"": 0.9634285714285715, ""p95"": 1.1823999999999997, ""max"": 1.288}",True,False,False,partial: pad contacts and reported events; no whole-robot collision certification,,0,,start_1787395928,"{""count"": 8, ""mean"": 0.9515421616379172, ""p95"": 1.1603328717232215}",/home/physicalai/phantom-icra-2027/sim/waffles/runs/teacher_robustness_v2_delivery/screen/rollouts/fta1500_nfe5_k1__start_1787395928__seed903102,False,"{""reach"": null, ""closure"": 0.0, ""acquisition"": null, ""lift"": null, ""carry"": null, ""release_in_bin"": null, ""full_task"": null, ""first_drop"": null}",False,False,False,"{""packet_robot_normal_force"": 94.26971054077148, ""packet_bin_normal_force"": 0.0}",none,0.0,0,"{""count"": 8, ""mean"": 1.13213311288564, ""p95"": 1.3410832503112031}",,[],False,"[""wrench_limit""]","{""count"": 8, ""mean"": 0.9515421616379172, ""p95"": 1.1603328717232215}",124.59507751464844,fta1500_nfe5_k1,False,,False,True,903102,0,safety_stop,7.0920000000000005,False,screen,False,"[""wrench_limit""]",True,True
