episode,study_split_candidate,initial_state,sha256,session,tcp_xyz_m,closure,anchor_offset_s,max_sensor_age_s,first_250ms_max_joint_speed_rad_s,wrapper_reversed
ep_waffles_1787395928_000,discovery,configs/sim/initial_states/waffles_aug22_1787395928_000.json,2bc7be8398a9ef042ded010853bbb88ab52af50bab3b1f24be8317493696cbfc,20260822_135140_waffles,"[-0.33538232877569196, -0.29982738757331384, 0.3563458840073126]",0.4274509847164154,0.008002016926184297,0.007814622018486261,0.03262106329202652,False
ep_waffles_1787395963_001,discovery,configs/sim/initial_states/waffles_aug22_1787395963_001.json,4004a76291d57ab57fc83921bdd3094ef27872ed3e16a67f060fc3fc57ed0172,20260822_135140_waffles,"[-0.3495555759785932, -0.27512946790625037, 0.35035050920628125]",0.3137255012989044,0.0,0.003165690926834941,0.023910926654934883,False
ep_waffles_1787396028_003,discovery,configs/sim/initial_states/waffles_aug22_1787396028_003.json,ee71fb3711d789682271ad25c2c5e6b4dbeac272bf837f22eb7c9fdab1d0140b,20260822_135140_waffles,"[-0.331271794061223, -0.3206862559838003, 0.33590352669063406]",0.3450980484485626,0.0,0.0009235150646418333,0.051124706864356995,False
ep_waffles_1787396060_004,confirmation,configs/sim/initial_states/waffles_aug22_1787396060_004.json,68984d95d361177ccd8df8dd2412d0e324ad9767bb40c59f79bbd6978912ddf9,20260822_135140_waffles,"[-0.34277963668580624, -0.308841994404968, 0.3554547508270639]",0.3137255012989044,0.0,0.0038614319637417793,0.017736652866005898,False
ep_waffles_1787396094_005,confirmation,configs/sim/initial_states/waffles_aug22_1787396094_005.json,3cbc27cc2670c9fef55bbfc71319454d80d83483d9d92c943d933783a0fc9051,20260822_135140_waffles,"[-0.3395998491671627, -0.316407081370372, 0.3072359196553298]",0.42352941632270813,0.009206469869241118,0.003719210857525468,0.07240869104862213,False
ep_waffles_1787396128_006,confirmation,configs/sim/initial_states/waffles_aug22_1787396128_006.json,554a80e5e5cd0b12f3e49d6c868d2576f134f514055c7bad0c24c6679d34b657,20260822_135140_waffles,"[-0.34553959891096603, -0.3092751088664797, 0.32902270496445724]",0.4274509847164154,0.0,0.0030803889967501163,0.026820696890354156,False
ep_waffles_1787396273_010,discovery,configs/sim/initial_states/waffles_aug22_1787396273_010.json,21fd912e3026ac991d0a7335317c2c07b7f709025f617a1f241ab28440fff6b6,20260822_135140_waffles,"[-0.3370493634399271, -0.30213036323570486, 0.29697775211803923]",0.37254902720451355,0.0,0.0018318688962608576,0.02847451902925968,True
ep_waffles_1787396314_011,confirmation,configs/sim/initial_states/waffles_aug22_1787396314_011.json,041426da9adaddfb6c973896a3dfae14b5f1ecb0266ea9f4f2fd10a5d0f13488,20260822_135140_waffles,"[-0.33803408897113024, -0.2840890620556038, 0.35711110430632903]",0.3333333432674408,0.008001978974789381,0.0030902628786861897,0.030104374513030052,False
ep_waffles_1787396346_012,confirmation,configs/sim/initial_states/waffles_aug22_1787396346_012.json,950b8cbbda7c78413e060326938a0239cfdb4d34e7f2cbeb7792f3d6dafee505,20260822_135140_waffles,"[-0.34006356944709104, -0.2899842235197968, 0.34205801605514824]",0.3490196168422699,0.02364032994955778,0.0010604029521346092,0.012271846644580364,False
ep_waffles_1787396461_000,confirmation,configs/sim/initial_states/waffles_aug22_1787396461_000.json,e4c1972bc0d42212e0138aa4c0474601520699575c640c4004a9bbde5b5d6a8d,20260822_140049_waffles,"[-0.32934843403965874, -0.3036396676083807, 0.3246262599854344]",0.2549019753932953,0.0,0.002096849959343672,0.01056529302150011,False
